species,tissue,layer,celltype,marker_group,gene,direction,evidence,notes
Mouse,Liver,Layer2,Resident Kupffer-like,identity,C1qc,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Monocyte-like,identity,Ccr2,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Monocyte-like,identity,Ly6c2,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Monocyte-like,identity,S100a8,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Monocyte-like,identity,S100a9,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Monocyte-like,identity,Plac8,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Monocyte-like,identity,Ctss,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Monocyte-like,identity,Fcn1,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Inflammatory M1-like,inflammatory,Tnf,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Inflammatory M1-like,inflammatory,Il1b,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Inflammatory M1-like,inflammatory,Il6,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Inflammatory M1-like,inflammatory,Nos2,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Inflammatory M1-like,inflammatory,Ptgs2,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Inflammatory M1-like,inflammatory,Cd80,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Inflammatory M1-like,inflammatory,Cd86,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Inflammatory M1-like,inflammatory,Cxcl9,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Inflammatory M1-like,inflammatory,Cxcl10,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Inflammatory M1-like,inflammatory,Ccl2,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Pro-resolution M2-like,anti_inflammatory,Il10,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Pro-resolution M2-like,anti_inflammatory,Mrc1,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Pro-resolution M2-like,anti_inflammatory,Arg1,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Pro-resolution M2-like,anti_inflammatory,Retnla,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Pro-resolution M2-like,anti_inflammatory,Chil3,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Pro-resolution M2-like,anti_inflammatory,Ccl24,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Pro-resolution M2-like,anti_inflammatory,Maf,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Pro-resolution M2-like,anti_inflammatory,Klf4,positive,curated,Initial framework registry
Mouse,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,Spp1,positive,curated,Initial framework registry
Mouse,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,Trem2,positive,curated,Initial framework registry
Mouse,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,Gpnmb,positive,curated,Initial framework registry
Mouse,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,Lgals3,positive,curated,Initial framework registry
Mouse,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,Cd9,positive,curated,Initial framework registry
Mouse,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,Fabp5,positive,curated,Initial framework registry
Mouse,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,Ctsb,positive,curated,Initial framework registry
Mouse,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,Ctsd,positive,curated,Initial framework registry
Mouse,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,Lpl,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Efferocytosis/phagocytosis-high,functional,Mertk,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Efferocytosis/phagocytosis-high,functional,Axl,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Efferocytosis/phagocytosis-high,functional,Tyro3,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Efferocytosis/phagocytosis-high,functional,Mfge8,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Efferocytosis/phagocytosis-high,functional,Gas6,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Efferocytosis/phagocytosis-high,functional,Marco,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Efferocytosis/phagocytosis-high,functional,Msr1,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Efferocytosis/phagocytosis-high,functional,Cd36,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Efferocytosis/phagocytosis-high,functional,Lrp1,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Fibrosis-associated macrophage,profibrotic,Spp1,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Fibrosis-associated macrophage,profibrotic,Tgfb1,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Fibrosis-associated macrophage,profibrotic,Pdgfb,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Fibrosis-associated macrophage,profibrotic,Mmp12,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Fibrosis-associated macrophage,profibrotic,Mmp14,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Fibrosis-associated macrophage,profibrotic,Lgals3,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Fibrosis-associated macrophage,profibrotic,Ctsb,positive,curated,Initial framework registry
Mouse,Liver,Layer2,IL10-response-high macrophage,il10_response,Stat3,positive,curated,Initial framework registry
Mouse,Liver,Layer2,IL10-response-high macrophage,il10_response,Socs3,positive,curated,Initial framework registry
Mouse,Liver,Layer2,IL10-response-high macrophage,il10_response,Bcl3,positive,curated,Initial framework registry
Mouse,Liver,Layer2,IL10-response-high macrophage,il10_response,Il4ra,positive,curated,Initial framework registry
Mouse,Liver,Layer2,IL10-response-high macrophage,il10_response,Maf,positive,curated,Initial framework registry
Mouse,Liver,Layer2,IL10-response-high macrophage,il10_response,Klf4,positive,curated,Initial framework registry
Mouse,Liver,Layer2,Resident Kupffer-like,exclusion,Ccr2,negative,curated,Monocyte-associated exclusion marker
Mouse,Liver,Layer2,Resident Kupffer-like,exclusion,S100a8,negative,curated,Inflammatory monocyte/neutrophil exclusion marker
Mouse,Liver,Layer2,Pro-resolution M2-like,exclusion,S100a8,negative,curated,Avoid neutrophil/monocyte contamination
Mouse,Liver,Layer2,Pro-resolution M2-like,exclusion,S100a9,negative,curated,Avoid neutrophil/monocyte contamination
