species,tissue,layer,celltype,marker_group,gene,direction,evidence,notes
Human,Liver,Layer2,Resident Kupffer-like,identity,TIMD4,positive,curated,Initial framework registry
Human,Liver,Layer2,Monocyte-like,identity,CCR2,positive,curated,Initial framework registry
Human,Liver,Layer2,Monocyte-like,identity,S100A8,positive,curated,Initial framework registry
Human,Liver,Layer2,Monocyte-like,identity,S100A9,positive,curated,Initial framework registry
Human,Liver,Layer2,Monocyte-like,identity,FCN1,positive,curated,Initial framework registry
Human,Liver,Layer2,Monocyte-like,identity,CTSS,positive,curated,Initial framework registry
Human,Liver,Layer2,Monocyte-like,identity,VCAN,positive,curated,Initial framework registry
Human,Liver,Layer2,Inflammatory M1-like,inflammatory,TNF,positive,curated,Initial framework registry
Human,Liver,Layer2,Inflammatory M1-like,inflammatory,IL1B,positive,curated,Initial framework registry
Human,Liver,Layer2,Inflammatory M1-like,inflammatory,IL6,positive,curated,Initial framework registry
Human,Liver,Layer2,Inflammatory M1-like,inflammatory,PTGS2,positive,curated,Initial framework registry
Human,Liver,Layer2,Inflammatory M1-like,inflammatory,CD80,positive,curated,Initial framework registry
Human,Liver,Layer2,Inflammatory M1-like,inflammatory,CD86,positive,curated,Initial framework registry
Human,Liver,Layer2,Inflammatory M1-like,inflammatory,CXCL9,positive,curated,Initial framework registry
Human,Liver,Layer2,Inflammatory M1-like,inflammatory,CXCL10,positive,curated,Initial framework registry
Human,Liver,Layer2,Inflammatory M1-like,inflammatory,CCL2,positive,curated,Initial framework registry
Human,Liver,Layer2,Inflammatory M1-like,inflammatory,GBP1,positive,curated,Initial framework registry
Human,Liver,Layer2,Inflammatory M1-like,inflammatory,GBP2,positive,curated,Initial framework registry
Human,Liver,Layer2,Pro-resolution M2-like,anti_inflammatory,IL10,positive,curated,Initial framework registry
Human,Liver,Layer2,Pro-resolution M2-like,anti_inflammatory,MRC1,positive,curated,Initial framework registry
Human,Liver,Layer2,Pro-resolution M2-like,anti_inflammatory,CD163,positive,curated,Initial framework registry
Human,Liver,Layer2,Pro-resolution M2-like,anti_inflammatory,CCL18,positive,curated,Initial framework registry
Human,Liver,Layer2,Pro-resolution M2-like,anti_inflammatory,CCL22,positive,curated,Initial framework registry
Human,Liver,Layer2,Pro-resolution M2-like,anti_inflammatory,MAF,positive,curated,Initial framework registry
Human,Liver,Layer2,Pro-resolution M2-like,anti_inflammatory,KLF4,positive,curated,Initial framework registry
Human,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,SPP1,positive,curated,Initial framework registry
Human,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,TREM2,positive,curated,Initial framework registry
Human,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,GPNMB,positive,curated,Initial framework registry
Human,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,LGALS3,positive,curated,Initial framework registry
Human,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,CD9,positive,curated,Initial framework registry
Human,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,FABP5,positive,curated,Initial framework registry
Human,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,CTSB,positive,curated,Initial framework registry
Human,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,CTSD,positive,curated,Initial framework registry
Human,Liver,Layer2,SPP1/TREM2 MASH-associated,mash_associated,LPL,positive,curated,Initial framework registry
Human,Liver,Layer2,Activated HSC,fibrogenic,ACTA2,positive,curated,Initial framework registry
Human,Liver,Layer2,Activated HSC,fibrogenic,TAGLN,positive,curated,Initial framework registry
Human,Liver,Layer2,Activated HSC,fibrogenic,PDGFRB,positive,curated,Initial framework registry
Human,Liver,Layer2,Activated HSC,fibrogenic,COL1A1,positive,curated,Initial framework registry
Human,Liver,Layer2,Activated HSC,fibrogenic,COL1A2,positive,curated,Initial framework registry
Human,Liver,Layer2,Activated HSC,fibrogenic,COL3A1,positive,curated,Initial framework registry
Human,Liver,Layer2,Activated HSC,fibrogenic,TIMP1,positive,curated,Initial framework registry
Human,Liver,Layer2,Activated HSC,fibrogenic,LOX,positive,curated,Initial framework registry
Human,Liver,Layer2,Activated HSC,fibrogenic,LOXL1,positive,curated,Initial framework registry
Human,Liver,Layer2,Quiescent HSC,quiescent,LRAT,positive,curated,Initial framework registry
Human,Liver,Layer2,Quiescent HSC,quiescent,RGS5,positive,curated,Initial framework registry
Human,Liver,Layer2,Quiescent HSC,quiescent,RELN,positive,curated,Initial framework registry
Human,Liver,Layer2,Quiescent HSC,quiescent,DCN,positive,curated,Initial framework registry
Human,Liver,Layer2,Quiescent HSC,quiescent,IGFBP3,positive,curated,Initial framework registry
Human,Liver,Layer2,Quiescent HSC,quiescent,CYGB,positive,curated,Initial framework registry
Human,Liver,Layer2,Quiescent HSC,quiescent,ADIRF,positive,curated,Initial framework registry
Human,Liver,Layer2,Quiescent HSC,quiescent,PPARG,positive,curated,Initial framework registry
Human,Liver,Layer2,Quiescent HSC,quiescent,RBP1,positive,curated,Initial framework registry
Human,Liver,Layer2,Quiescent HSC,quiescent,GPX3,positive,curated,Initial framework registry
Human,Liver,Layer2,Resident Kupffer-like,exclusion,CCR2,negative,curated,Monocyte-associated exclusion marker
Human,Liver,Layer2,Pro-resolution M2-like,exclusion,S100A8,negative,curated,Avoid neutrophil/monocyte contamination
Human,Liver,Layer2,Pro-resolution M2-like,exclusion,S100A9,negative,curated,Avoid neutrophil/monocyte contamination
